,,봄 ( 3 ~ 5 ) ,*,*,여  름 ( 6 ~ 8 ) ,*,*,가  을 ( 9 ~ 11 ) ,*,*,겨  을 ( 12 ~ 2 ) ,*,*,
적용일자,발전기명,평일,토요일,휴일,평일,토요일,휴일,평일,토요일,휴일,평일,토요일,휴일
2024-08-01,통영천연가스CC,0.9961,0.9919,0.9844,1.0109,1.0019,0.9981,1.0007,0.9895,0.9445,1.0067,0.9973,0.9857
2024-07-01,화천수력,0.9908,0.9973,0.999,0.999,0.9937,0.995,1.0001,1.0001,1.0074,1.014,1.0078,1.0077
2024-07-01,춘천수력,1.0011,1.005,1.0077,1.0113,1.0041,1.0038,1.0148,1.0126,1.0163,1.0207,1.0152,1.0144
2024-07-01,의암수력,1.0001,1.0042,1.0047,1.0085,1.0024,1.0037,1.0124,1.0098,1.0147,1.0173,1.0145,1.0121
2024-07-01,청평수력,1.011,1.0146,1.0146,1.019,1.0124,1.0135,1.0223,1.0187,1.0233,1.0274,1.0238,1.0216
2024-07-01,팔당수력,1.0104,1.0118,1.0115,1.0178,1.0109,1.0117,1.0196,1.0164,1.0207,1.0221,1.0189,1.0157
2024-07-01,소양강수력,0.9867,0.9916,0.9938,0.9991,0.9916,0.9918,1.0036,0.9994,1.0018,1.0065,1,0.9985
2024-07-01,충주수력,1.0108,1.0088,1.0096,1.0145,1.0064,1.0045,1.018,1.0085,1.0125,1.0279,1.0164,1.0142
2024-07-01,대청수력,1.0107,1.0069,1.0078,1.0253,1.0166,1.0155,1.0232,1.0145,1.0124,1.0254,1.0176,1.0135
2024-07-01,안동수력,0.9817,0.9844,0.9861,0.989,0.9811,0.9811,0.9888,0.9843,0.9861,0.9945,0.9852,0.9821
2024-07-01,합천수력,0.9883,0.9782,0.9791,1.0234,1.0088,1.0006,1.0076,0.9831,0.9762,1.0221,1.0048,0.9894
2024-07-01,임하수력,0.9832,0.9879,0.9883,0.9889,0.9806,0.981,0.9876,0.9846,0.9843,0.9953,0.9834,0.9777
2024-07-01,칠보수력,0.9985,0.9948,0.9938,1.0087,0.9989,0.9963,1.0081,1.0006,0.9903,1.0221,1.0131,1.0064
2024-07-01,주암수력,0.9888,0.9831,0.9879,1.0126,1.0021,1.0029,1.0102,0.9969,0.9897,1.0202,1.017,1.0028
2024-07-01,용담제1수력,1.0014,0.9967,0.9963,1.0137,1.0052,1.0027,1.0122,1.0048,0.9971,1.0243,1.0141,1.0078
2024-07-01,무주양수,1.0072,1.0011,0.9994,1.0222,1.0111,1.011,1.0076,0.9969,0.9904,1.0182,1.0098,1
2024-07-01,예천양수,0.9855,0.9845,0.9861,0.9929,0.984,0.9831,0.9892,0.9851,0.9875,0.9936,0.9859,0.9846
