,발전기명,권역,TLF,LMP_TLF_곱하기
0,고리#4,경남,1.01,144.09
1,신고리#2,경남,1.01,144.14
2,신고리#1,경남,1.01,144.14
3,신고리#4,경남,1.01,144.14
4,신고리#3,경남,1.01,144.14
5,고리#3,경남,1.01,144.09
6,고리#2,경남,1.01,144.09
7,고성2호기,경남,1.01,143.84
8,고성1호기,경남,1.01,143.84
9,하동#7,경남,1.0,143.04
10,하동#8,경남,1.0,143.04
11,하동#6,경남,1.0,143.04
12,하동#5,경남,1.0,143.04
13,하동#1,경남,1.0,143.16
14,하동#2,경남,1.0,143.16
15,하동#3,경남,1.0,143.16
16,하동#4,경남,1.0,143.16
17,통영천연가스CC,경남,1.01,143.81
18,삼천포#6,경남,1.01,143.81
19,삼천포#5,경남,1.01,143.81
20,삼천포#3,경남,1.01,143.81
21,삼천포#4,경남,1.01,143.81
22,울산GPS복합CC,경남,1.02,145.8
23,울산GPS복합GT,경남,1.02,145.8
24,양산열병합,경남,1.02,145.61
25,안양열병합2-2CC,경남,1.02,145.07
26,영남파워#1CC,경남,1.02,145.6
27,울산복합CC#4,경남,1.02,145.8
28,부산복합4CC,경남,1.02,146.03
29,부산복합2CC,경남,1.02,146.03
30,부산복합3CC,경남,1.02,146.03
31,부산복합1CC,경남,1.02,146.03
32,울산복합CC#3,경남,1.02,145.8
33,울산복합CC#2,경남,1.02,145.8
34,울산복합CC#1,경남,1.02,145.81
35,부산정관에너지#1CC,경남,1.02,146.2
36,무림파워텍열병합,경남,1.02,146.36
37,대전서남부열병합,경남,1.02,145.93
38,한울#5,경북,0.98,140.56
39,신월성#2,경북,1.01,144.5
40,신월성#1,경북,1.01,144.5
41,신한울#2,경북,0.98,140.7
42,월성#2,경북,1.01,144.63
43,한울#4,경북,0.98,139.69
44,한울#3,경북,0.98,139.69
45,한울#6,경북,0.98,140.56
46,신한울#1,경북,0.98,140.7
47,월성#3,경북,1.01,144.26
48,한울#2,경북,0.98,139.66
49,한울#1,경북,0.98,139.66
50,월성#4,경북,1.01,144.26
51,대구열병합CC,경북,1.02,146.21
52,대구그린파워CC,경북,1.02,146.21
53,안동복합CC,경북,1.0,142.37
54,한빛#3,호남,1.0,142.31
55,한빛#6,호남,0.99,141.79
56,한빛#5,호남,0.99,141.79
57,한빛#4,호남,1.0,142.31
58,한빛#1,호남,1.0,142.56
59,한빛#2,호남,1.0,142.56
60,광양복합2CC,호남,1.01,143.64
61,광양복합1CC,호남,1.01,143.64
62,여수#1,호남,1.01,143.91
63,여수#2,호남,1.01,143.91
64,율촌복합#2CC,호남,1.0,143.16
65,군산복합화력1CC,호남,1.0,142.74
66,율촌복합CC,호남,1.0,142.36
67,수완에너지열병합CC,호남,1.03,146.53
68,태안IGCC CC,충청,0.99,141.03
69,내포열병합CC,충청,1.0,143.37
70,당진#10,충청,1.0,143.46
71,당진#9,충청,1.0,143.46
72,당진#7,충청,1.0,143.46
73,당진#6,충청,1.0,143.46
74,보령#8,충청,1.0,143.36
75,영흥#6,충청,1.01,144.83
76,보령#4,충청,1.0,142.86
77,영흥#1,충청,1.01,144.84
78,영흥#4,충청,1.01,144.84
79,당진#5,충청,1.0,143.46
80,태안#10,충청,0.99,141.44
81,보령#3,충청,1.0,142.86
82,당진#8,충청,1.0,143.46
83,보령#7,충청,1.0,143.36
84,영흥#3,충청,1.01,144.84
85,영흥#5,충청,1.01,144.83
86,영흥#2,충청,1.01,144.84
87,당진#2,충청,1.01,143.69
88,당진#3,충청,1.0,143.46
89,당진#4,충청,1.0,143.46
90,당진#1,충청,1.01,143.69
91,태안#8,충청,0.99,141.44
92,태안#7,충청,0.99,141.44
93,태안#1,충청,0.99,141.44
94,태안#6,충청,0.99,141.44
95,태안#9,충청,0.99,141.44
96,보령#6,충청,1.0,142.86
97,태안#2,충청,0.99,141.44
98,태안#3,충청,0.99,141.44
99,태안#4,충청,0.99,141.44
100,보령#5,충청,1.0,142.86
101,태안#5,충청,0.99,141.44
102,신보령#2,충청,1.0,142.76
103,신보령#1,충청,1.0,142.76
104,세종천연가스CC,충청,1.02,145.71
105,신서천화력1호기,충청,0.98,139.7
106,GS당진복합4CC,충청,1.0,142.36
107,GS당진복합1CC,충청,1.0,142.73
108,신세종열병합CC,충청,1.02,145.71
109,GS당진복합3CC,충청,1.0,142.36
110,GS당진복합2CC,충청,1.0,142.36
111,보령복합2CC,충청,1.0,142.76
112,보령복합1CC,충청,1.0,142.76
113,보령복합3CC,충청,1.0,143.19
114,대산복합#2G/T,충청,1.01,143.69
115,동해#2,강원,0.97,139.16
116,동해#1,강원,0.97,139.16
117,삼척그린#2,강원,0.98,139.56
118,삼척그린#1,강원,0.98,139.56
119,강릉안인#2,강원,0.98,139.51
120,강릉안인#1,강원,0.98,139.51
121,삼척화력#1,강원,0.98,139.69
122,북평#1,강원,0.98,139.93
123,북평#2,강원,0.98,139.93
124,춘천열병합CC,강원,1.01,144.87
125,영월복합1CC,강원,0.98,140.39
126,파주문산복합2CC,경기,1.01,144.81
127,파주문산복합1CC,경기,1.01,144.81
128,파주열병합1CC,경기,1.01,144.74
129,남제주복합CC,제주,1.0,142.84
130,제주복합1CC,제주,1.0,142.86
131,제주복합2CC,제주,1.0,142.86
132,제주내연#2,제주,1.0,142.86
133,제주내연#1,제주,1.0,142.86
134,남제주#2,제주,1.0,142.84
135,제주화력#3,제주,1.0,142.86
136,남제주#1,제주,1.0,142.84
137,제주화력#2,제주,1.0,142.86
