발전기명,권역,출력량(MWh),상태,연료비(원/kWh),총 비용(원)
고리#4,경남,961.0,1.0,5.824,5596.864
신고리#2,경남,961.0,1.0,5.967,5734.286999999999
한울#5,경북,970.0,1.0,5.97,5790.9
신고리#1,경남,959.0,1.0,6.021,5774.139
신월성#2,경북,965.0,1.0,6.035,5823.775000000001
신월성#1,경북,965.0,1.0,6.052,5840.179999999999
신한울#2,경북,1360.0,1.0,6.085,8275.6
한빛#3,호남,957.0,1.0,6.096,5833.872
한빛#6,호남,969.0,1.0,6.138,5947.722
월성#2,경북,684.0,1.0,6.219,4253.796
신고리#4,경남,1374.0,1.0,6.241,8575.134
한울#4,경북,962.0,1.0,6.271,6032.702
한빛#5,호남,962.0,1.0,6.328,6087.536
한울#3,경북,956.0,1.0,6.361,6081.116
신고리#3,경남,1360.0,1.0,6.453,8776.08
한빛#4,호남,956.0,1.0,6.461,6176.716
한울#6,경북,964.0,1.0,6.498,6264.072
신한울#1,경북,546.44424,1.0,6.542,3574.83821808
월성#3,경북,0.0,1.0,6.543,0.0
한울#2,경북,0.0,1.0,6.543,0.0
고리#3,경남,964.0,1.0,6.598,6360.472
한빛#1,호남,961.0,1.0,6.602,6344.522
한울#1,경북,0.0,1.0,6.651,0.0
한빛#2,호남,960.0,1.0,6.744,6474.24
월성#4,경북,0.0,1.0,6.781,0.0
고리#2,경남,613.0,1.0,10.243,6278.959
태안IGCC CC,충청,329.0,1.0,60.964,20057.156
광양복합2CC,호남,552.0,1.0,65.712,36273.024000000005
광양복합1CC,호남,561.0,1.0,66.643,37386.723
동해#2,강원,172.0,1.0,68.456,11774.432
동해#1,강원,171.0,1.0,69.967,11964.357
고성2호기,경남,988.0,1.0,70.468,69622.384
고성1호기,경남,988.0,1.0,70.776,69926.688
내포열병합CC,충청,470.0,1.0,72.548,34097.56
하동#7,경남,456.0,1.0,74.716,34070.496
당진#10,충청,929.0,1.0,74.952,69630.408
하동#8,경남,454.0,1.0,74.996,34048.184
삼척그린#2,강원,911.0,1.0,76.585,69768.935
당진#9,충청,931.0,1.0,77.005,71691.655
삼척그린#1,강원,911.0,1.0,77.224,70351.064
하동#6,경남,456.0,1.0,77.389,35289.384
하동#5,경남,456.0,1.0,77.407,35297.592
미경발전,호남,2000.0,1.0,77.405,154810.0
하동#1,경남,456.0,1.0,77.422,35304.432
하동#2,경남,456.0,1.0,77.432,35308.992
강릉안인#2,강원,215.79354,1.0,77.548,16734.35743992
하동#3,경남,456.0,1.0,77.565,35369.64
강릉안인#1,강원,0.0,1.0,77.812,0.0
하동#4,경남,124.70104,1.0,78.011,9728.05283144
당진#7,충청,453.0,1.0,78.796,35694.588
당진#6,충청,452.0,1.0,78.877,35652.403999999995
보령#8,충청,454.0,1.0,78.913,35826.502
대구열병합CC,경북,0.0,1.0,78.926,0.0
통영천연가스CC,경남,0.0,1.0,79.053,0.0
영흥#6,충청,778.0,1.0,79.203,61619.934
삼척화력#1,강원,0.0,1.0,79.278,0.0
보령#4,충청,454.0,1.0,79.304,36004.016
영흥#1,충청,719.0,1.0,79.317,57028.922999999995
영흥#4,충청,786.0,1.0,79.328,62351.808000000005
당진#5,충청,454.0,1.0,79.38,36038.52
태안#10,충청,952.0,1.0,79.516,75699.232
보령#3,충청,450.0,1.0,79.683,35857.350000000006
당진#8,충청,455.0,1.0,79.702,36264.409999999996
보령#7,충청,453.0,1.0,79.77,36135.81
영흥#3,충청,783.0,1.0,79.801,62484.183000000005
영흥#5,충청,779.0,1.0,79.838,62193.801999999996
삼천포#6,경남,0.0,1.0,79.922,0.0
삼천포#5,경남,0.0,1.0,80.316,0.0
영흥#2,충청,721.0,1.0,80.496,58037.615999999995
삼천포#3,경남,0.0,1.0,80.879,0.0
삼천포#4,경남,0.0,1.0,81.102,0.0
당진#2,충청,451.0,1.0,81.507,36759.657
당진#3,충청,451.0,1.0,81.706,36849.406
당진#4,충청,224.06817,1.0,82.649,18519.01018233
당진#1,충청,0.0,1.0,82.804,0.0
